date,state,total_cases
2023-01-02,Karnataka,0
2023-01-02,Kerala,111
2023-01-09,Karnataka,0
2023-01-09,Kerala,117
2023-01-16,Karnataka,0
2023-01-16,Kerala,118
2023-01-23,Karnataka,0
2023-01-23,Kerala,115
2023-01-30,Karnataka,0
2023-01-30,Kerala,102
2023-02-06,Karnataka,0
2023-02-06,Kerala,84
2023-02-13,Karnataka,0
2023-02-13,Kerala,81
2023-02-20,Karnataka,0
2023-02-20,Kerala,81
2023-02-27,Karnataka,0
2023-02-27,Kerala,81
2023-03-06,Karnataka,0
2023-03-06,Kerala,78
2023-03-13,Karnataka,0
2023-03-13,Kerala,67
2023-03-20,Karnataka,0
2023-03-20,Kerala,63
2023-03-27,Karnataka,0
2023-03-27,Kerala,63
2023-04-03,Karnataka,0
2023-04-03,Kerala,63
2023-04-10,Karnataka,0
2023-04-10,Kerala,58
2023-04-17,Karnataka,0
2023-04-17,Kerala,60
2023-04-24,Karnataka,0
2023-04-24,Kerala,65
2023-05-01,Karnataka,0
2023-05-01,Kerala,60
2023-05-08,Karnataka,0
2023-05-08,Kerala,50
2023-05-15,Karnataka,0
2023-05-15,Kerala,50
2023-05-22,Karnataka,0
2023-05-22,Kerala,58
2023-05-29,Karnataka,0
2023-05-29,Kerala,41
2023-06-05,Karnataka,0
2023-06-05,Kerala,43
2023-06-12,Karnataka,0
2023-06-12,Kerala,46
2023-06-19,Karnataka,0
2023-06-19,Kerala,46
2023-06-26,Karnataka,0
2023-06-26,Kerala,49
2023-07-03,Karnataka,0
2023-07-03,Kerala,62
2023-07-10,Karnataka,0
2023-07-10,Kerala,69
2023-07-17,Karnataka,0
2023-07-17,Kerala,75
2023-07-24,Karnataka,0
2023-07-24,Kerala,76
2023-07-31,Karnataka,0
2023-07-31,Kerala,72
2023-08-07,Karnataka,0
2023-08-07,Kerala,100
2023-08-14,Karnataka,0
2023-08-14,Kerala,132
2023-08-21,Karnataka,0
2023-08-21,Kerala,141
2023-08-28,Karnataka,0
2023-08-28,Kerala,152
2023-09-04,Karnataka,0
2023-09-04,Kerala,191
2023-09-11,Karnataka,0
2023-09-11,Kerala,232
2023-09-18,Karnataka,0
2023-09-18,Kerala,274
2023-09-25,Karnataka,0
2023-09-25,Kerala,299
2023-10-02,Karnataka,0
2023-10-02,Kerala,312
2023-10-09,Karnataka,0
2023-10-09,Kerala,340
2023-10-16,Karnataka,0
2023-10-16,Kerala,372
2023-10-23,Karnataka,0
2023-10-23,Kerala,549
2023-10-30,Karnataka,204
2023-10-30,Kerala,506
2023-11-06,Karnataka,94
2023-11-06,Kerala,532
2023-11-13,Karnataka,101
2023-11-13,Kerala,574
2023-11-20,Karnataka,310
2023-11-20,Kerala,614
2023-11-27,Karnataka,80
2023-11-27,Kerala,653
2023-12-04,Karnataka,96
2023-12-04,Kerala,693
2023-12-11,Karnataka,0
2023-12-11,Kerala,731
2023-12-18,Karnataka,613
2023-12-18,Kerala,771
2023-12-25,Karnataka,421
2023-12-25,Kerala,781
2024-01-01,Karnataka,448
2024-01-01,Kerala,327
2024-01-08,Karnataka,729
2024-01-08,Kerala,332
2024-01-15,Karnataka,515
2024-01-15,Kerala,322
2024-01-22,Karnataka,149
2024-01-22,Kerala,306
2024-01-29,Karnataka,188
2024-01-29,Kerala,335
2024-02-05,Karnataka,2316
2024-02-05,Kerala,375
2024-02-12,Karnataka,195
2024-02-12,Kerala,412
2024-02-19,Karnataka,89
2024-02-19,Kerala,377
2024-02-26,Karnataka,472
2024-02-26,Kerala,340
2024-03-04,Karnataka,187
2024-03-04,Kerala,315
2024-03-11,Karnataka,289
2024-03-11,Kerala,345
2024-03-18,Karnataka,454
2024-03-18,Kerala,364
2024-03-25,Karnataka,75
2024-03-25,Kerala,360
2024-04-01,Karnataka,1256
2024-04-01,Kerala,372
2024-04-08,Karnataka,112
2024-04-08,Kerala,388
2024-04-15,Karnataka,77
2024-04-15,Kerala,357
2024-04-22,Karnataka,238
2024-04-22,Kerala,319
2024-04-29,Karnataka,373
2024-04-29,Kerala,279
2024-05-06,Karnataka,1062
2024-05-06,Kerala,242
2024-05-13,Karnataka,2203
2024-05-13,Kerala,217
2024-05-20,Karnataka,0
2024-05-20,Kerala,226
2024-05-27,Karnataka,376
2024-05-27,Kerala,218
2024-06-03,Karnataka,111
2024-06-03,Kerala,181
2024-06-10,Karnataka,207
2024-06-10,Kerala,187
2024-06-17,Karnataka,236
2024-06-17,Kerala,224
2024-06-24,Karnataka,111
2024-06-24,Kerala,50
2024-07-01,Karnataka,344
2024-07-01,Kerala,49
2024-07-08,Karnataka,0
2024-07-08,Kerala,52
2024-07-15,Karnataka,87
2024-07-15,Kerala,57
2024-07-22,Karnataka,324
2024-07-22,Kerala,60
2024-07-29,Karnataka,254
2024-07-29,Kerala,66
2024-08-05,Karnataka,333
2024-08-05,Kerala,87
2024-08-12,Karnataka,409
2024-08-12,Kerala,113
2024-08-19,Karnataka,179
2024-08-19,Kerala,125
2024-08-26,Karnataka,58
2024-08-26,Kerala,134
2024-09-02,Karnataka,43
2024-09-02,Kerala,163
2024-09-09,Karnataka,65
2024-09-09,Kerala,196
2024-09-16,Karnataka,0
2024-09-16,Kerala,231
2024-09-23,Karnataka,463
2024-09-23,Kerala,266
2024-09-30,Karnataka,56
2024-09-30,Kerala,308
2024-10-07,Karnataka,130
2024-10-07,Kerala,354
2024-10-14,Karnataka,857
2024-10-14,Kerala,398
2024-10-21,Karnataka,191
2024-10-21,Kerala,430
2024-10-28,Karnataka,65
2024-10-28,Kerala,445
2024-11-04,Karnataka,113
2024-11-04,Kerala,484
2024-11-11,Karnataka,175
2024-11-11,Kerala,526
2024-11-18,Karnataka,2362
2024-11-18,Kerala,573
2024-11-25,Karnataka,203
2024-11-25,Kerala,584
2024-12-02,Karnataka,0
2024-12-02,Kerala,575
2024-12-09,Karnataka,4696
2024-12-09,Kerala,541
2024-12-16,Karnataka,296
2024-12-16,Kerala,506
2024-12-23,Karnataka,122
2024-12-23,Kerala,520
2024-12-30,Karnataka,0
2024-12-30,Kerala,539
2025-01-06,Karnataka,0
2025-01-06,Kerala,137
2025-01-13,Karnataka,0
2025-01-13,Kerala,173
2025-01-20,Karnataka,158
2025-01-20,Kerala,186
2025-01-27,Karnataka,158
2025-01-27,Kerala,165
2025-02-03,Karnataka,420
2025-02-03,Kerala,153
2025-02-10,Karnataka,459
2025-02-10,Kerala,149
2025-02-17,Karnataka,182
2025-02-17,Kerala,155
2025-02-24,Karnataka,416
2025-02-24,Kerala,161
2025-03-03,Karnataka,278
2025-03-03,Kerala,144
2025-03-10,Karnataka,216
2025-03-10,Kerala,123
2025-03-17,Karnataka,0
2025-03-17,Kerala,117
2025-03-24,Karnataka,3004
2025-03-24,Kerala,110
2025-03-31,Karnataka,58
2025-03-31,Kerala,94
2025-04-07,Karnataka,2865
2025-04-07,Kerala,80
2025-04-14,Karnataka,1643
2025-04-14,Kerala,67
2025-04-21,Karnataka,77
2025-04-21,Kerala,62
2025-04-28,Karnataka,79
2025-04-28,Kerala,62
2025-05-05,Karnataka,19
2025-05-05,Kerala,69
2025-05-12,Karnataka,178
2025-05-12,Kerala,75
2025-05-19,Karnataka,183
2025-05-19,Kerala,78
2025-05-26,Karnataka,1528
2025-05-26,Kerala,78
2025-06-02,Karnataka,93
2025-06-02,Kerala,63
2025-06-09,Karnataka,254
2025-06-09,Kerala,50
2025-06-16,Karnataka,118
2025-06-16,Kerala,49
2025-06-23,Karnataka,111
2025-06-23,Kerala,52
2025-06-30,Karnataka,144
2025-06-30,Kerala,57
2025-07-07,Karnataka,409
2025-07-07,Kerala,60
2025-07-14,Karnataka,683
2025-07-14,Kerala,66
2025-07-21,Karnataka,171
2025-07-21,Kerala,87
2025-07-28,Karnataka,145
2025-07-28,Kerala,113
2025-08-04,Karnataka,112
2025-08-04,Kerala,125
2025-08-11,Karnataka,132
2025-08-11,Kerala,134
2025-08-18,Karnataka,0
2025-08-18,Kerala,163
2025-08-25,Karnataka,175
2025-08-25,Kerala,196
2025-09-01,Karnataka,203
2025-09-01,Kerala,231
2025-09-08,Karnataka,0
2025-09-08,Kerala,266
2025-09-15,Karnataka,170
2025-09-15,Kerala,308
2025-09-22,Karnataka,173
2025-09-22,Kerala,354
2025-09-29,Karnataka,194
2025-09-29,Kerala,398
2025-10-06,Karnataka,146
2025-10-06,Kerala,430
2025-10-13,Karnataka,57
2025-10-13,Kerala,445
2025-10-20,Karnataka,110
2025-10-20,Kerala,484
2025-10-27,Karnataka,748
2025-10-27,Kerala,526
2025-11-03,Karnataka,66
2025-11-03,Kerala,573
2025-11-10,Karnataka,0
2025-11-10,Kerala,584
2025-11-17,Karnataka,717
2025-11-17,Kerala,575
2025-11-24,Karnataka,69
2025-11-24,Kerala,541
2025-12-01,Karnataka,857
2025-12-01,Kerala,506
2025-12-08,Karnataka,0
2025-12-08,Kerala,520
2025-12-15,Karnataka,1189
2025-12-15,Kerala,539
2025-12-22,Karnataka,0
2025-12-22,Kerala,137
2025-12-29,Karnataka,186
2025-12-29,Kerala,173
2026-01-05,Karnataka,150
2026-01-05,Kerala,186
2026-01-12,Karnataka,0
2026-01-12,Kerala,165
2026-01-19,Karnataka,0
2026-01-19,Kerala,153
2026-01-26,Karnataka,0
2026-01-26,Kerala,149
2026-02-02,Karnataka,0
2026-02-02,Kerala,155
2026-02-09,Karnataka,0
2026-02-09,Kerala,161
2026-02-16,Karnataka,0
2026-02-16,Kerala,144
2026-02-23,Karnataka,0
2026-02-23,Kerala,123
2026-03-02,Karnataka,0
2026-03-02,Kerala,117
2026-03-09,Karnataka,0
2026-03-09,Kerala,110
2026-03-16,Karnataka,0
2026-03-16,Kerala,94
2026-03-23,Karnataka,0
2026-03-23,Kerala,80
2026-03-30,Karnataka,0
2026-03-30,Kerala,67
2026-04-06,Karnataka,0
2026-04-06,Kerala,62
2026-04-13,Karnataka,0
2026-04-13,Kerala,62
2026-04-20,Karnataka,0
2026-04-20,Kerala,69
2026-04-27,Karnataka,0
2026-04-27,Kerala,75
2026-05-04,Karnataka,0
2026-05-04,Kerala,78
2026-05-11,Karnataka,0
2026-05-11,Kerala,78
2026-05-18,Karnataka,0
2026-05-18,Kerala,63
2026-05-25,Karnataka,0
2026-05-25,Kerala,50
2026-06-01,Karnataka,0
2026-06-01,Kerala,49
2026-06-08,Karnataka,0
2026-06-08,Kerala,52
2026-06-15,Karnataka,0
2026-06-15,Kerala,57
2026-06-22,Karnataka,0
2026-06-22,Kerala,60
2026-06-29,Karnataka,0
2026-06-29,Kerala,66
2026-07-06,Karnataka,0
